id,arquivo,grupo,fonte,operacao,tamanho_final,modo,alpha_min,alpha_max,bbox_conteudo
01,01_floor_moon_clean_01.png,tiles,piso_de_pedra_lunar_em_pixel_art.png,direct,32x32,RGBA,0,255,"(0, 0, 32, 32)"
02,02_floor_moon_clean_02.png,tiles,piso_de_pedra_lunar_em_pixel_art.png,flipx,32x32,RGBA,0,255,"(0, 0, 32, 32)"
03,03_floor_moon_cracked_01.png,tiles,azulejo_de_pedra_lunar_rachada.png,direct,32x32,RGBA,0,254,"(0, 0, 32, 32)"
04,04_floor_moon_cracked_02.png,tiles,azulejo_de_pedra_lunar_rachada.png,rot180,32x32,RGBA,0,255,"(0, 0, 32, 32)"
05,05_floor_moon_rune_01.png,tiles,azulejo_gótico_de_lua_em_pixel_art.png,direct,32x32,RGBA,252,253,"(0, 0, 32, 32)"
06,06_floor_moon_rune_02.png,tiles,azulejo_pixelado_da_lua_crescente.png,direct,32x32,RGBA,43,255,"(0, 0, 32, 32)"
07,07_wall_moon_top.png,tiles,azulejo_gótico_do_templo_lunar.png,direct,32x32,RGBA,0,255,"(0, 0, 32, 32)"
08,08_wall_moon_bottom.png,tiles,soleira_gótica_com_lua_crescente.png,direct,32x32,RGBA,0,254,"(0, 12, 32, 32)"
09,09_wall_moon_left.png,tiles,azulejo_de_parede_gótica_ao_luar.png,direct,32x32,RGBA,0,254,"(0, 0, 32, 32)"
10,10_wall_moon_right.png,tiles,azulejo_de_parede_gótica_ao_luar.png,flipx,32x32,RGBA,0,254,"(0, 0, 32, 32)"
11,11_corner_moon_inner.png,tiles,azulejo_gótico_lunar_em_l.png,direct,32x32,RGBA,0,253,"(0, 0, 32, 32)"
12,12_corner_moon_outer.png,tiles,azulejo_gótico_lunar_em_l.png,rot180,32x32,RGBA,0,253,"(0, 0, 32, 32)"
13,13_arch_moon_small.png,arch,portal_lunar_gótico_em_pixel_art.png,direct,64x64,RGBA,0,255,"(1, 17, 63, 46)"
14,14_arch_moon_tall.png,arch,portal_gótico_pixel_art_com_luas_crescentes.png,direct,64x96,RGBA,0,255,"(2, 15, 62, 81)"
15,15_pillar_moon_left.png,arch,pilar_gótico_lunar_em_pixel_art.png,direct,32x64,RGBA,0,255,"(7, 1, 25, 63)"
16,16_pillar_moon_right.png,arch,pilar_gótico_lunar_em_pixel_art.png,flipx,32x64,RGBA,0,255,"(7, 1, 25, 63)"
17,17_lunar_doorframe.png,arch,portal_gótico_lunar_em_pixel_art.png,direct,64x64,RGBA,0,254,"(13, 1, 51, 63)"
18,18_portal_frame_final.png,arch,portal_gótico_lunar_com_correntes_mágicas.png,direct,96x128,RGBA,0,254,"(3, 2, 93, 126)"
19,19_threshold_moon_top.png,arch,soleira_gótica_com_lua_crescente.png,direct,32x32,RGBA,0,254,"(1, 9, 31, 23)"
20,20_threshold_moon_bottom.png,arch,escadaria_do_templo_lunar_gótico.png,direct,32x32,RGBA,0,254,"(1, 9, 31, 22)"
21,21_mirror_standing_01.png,mirrors,espelho_gótico_da_luaৰ_ক.png,direct,64x96,RGBA,0,254,"(12, 2, 51, 94)"
22,22_mirror_standing_02.png,mirrors,espelho_gótico_da_luaৰ_ক.png,flipx,64x96,RGBA,0,254,"(12, 2, 51, 94)"
23,23_mirror_broken_01.png,mirrors,espelho_lunar_gótico_rachado.png,direct,64x96,RGBA,0,254,"(15, 2, 48, 94)"
24,24_mirror_active_01.png,mirrors,espelho_gótico_da_luaৰ_ক.png,active,64x96,RGBA,0,254,"(7, 0, 56, 96)"
25,25_mirror_inactive_01.png,mirrors,espelho_gótico_da_luaৰ_ক.png,inactive,64x96,RGBA,0,254,"(12, 2, 51, 94)"
26,26_mirror_glow_overlay.png,mirrors,espelho_gótico_da_luaৰ_ক.png,glow,64x96,RGBA,0,169,"(6, 0, 58, 96)"
27,27_mirror_pedestal.png,mirrors,pedestal_lunar_gótico_em_pixel_art.png,direct,32x48,RGBA,0,254,"(1, 9, 31, 38)"
28,28_mirror_rune_marker.png,mirrors,emblema_lunar_mágico_em_pixel_art.png,direct,32x32,RGBA,0,254,"(8, 2, 24, 31)"
29,29_sigil_base_moon.png,sigil,selo_arcano_da_lua_em_pixel_art.png,direct,160x160,RGBA,0,255,"(2, 2, 158, 158)"
30,30_sigil_ring_outer.png,sigil,anel_mágico_lunar_em_pixel_art.png,direct,160x160,RGBA,0,255,"(2, 2, 158, 158)"
31,31_sigil_ring_middle.png,sigil,anel_rúnico_lunar_em_pixel_art.png,direct,128x128,RGBA,0,255,"(2, 2, 126, 125)"
32,32_sigil_ring_inner.png,sigil,anel_rúnico_lunar_em_pixel_art.png,direct,96x96,RGBA,0,255,"(2, 2, 94, 93)"
33,33_sigil_symbol_moon.png,sigil,derivado_por_script,moon_glyph,32x32,RGBA,0,255,"(5, 4, 27, 28)"
34,34_sigil_symbol_grimoire.png,sigil,grimório_arcano_em_pixel_art.png,direct,32x32,RGBA,0,254,"(1, 6, 31, 26)"
35,35_sigil_symbol_sustain.png,sigil,derivado_por_script,sustain_glyph,32x32,RGBA,0,255,"(6, 3, 25, 27)"
36,36_sigil_complete.png,sigil,sigilo_lunar_gótico_em_pixel_art.png,direct,160x160,RGBA,0,255,"(2, 2, 157, 158)"
37,37_sigil_fragment_piece_01.png,sigil,fragmento_de_selo_lunar_quebrado.png,direct,64x64,RGBA,0,255,"(13, 1, 51, 63)"
38,38_sigil_fragment_piece_02.png,sigil,fragmento_de_selo_lunar_quebrado.png,flipx,64x64,RGBA,0,255,"(13, 1, 51, 63)"
39,39_fragment_collectible.png,props,fragmento_lunar_mágico_em_cristal.png,direct,32x48,RGBA,0,255,"(4, 1, 28, 47)"
40,40_fragment_pedestal.png,props,pedestal_lunar_místico_em_pixel_art.png,direct,32x48,RGBA,0,254,"(5, 1, 27, 47)"
41,41_brazier_moon_base.png,props,braseiro_lunar_gótico_em_pixel_art.png,direct,32x48,RGBA,0,254,"(1, 9, 31, 39)"
42,42_candle_moon.png,props,vela_gótica_do_domínio_lunar.png,direct,32x48,RGBA,0,253,"(9, 1, 23, 47)"
43,43_crystal_cluster_small.png,props,cristais_lunares_luminosos_em_pixel_art.png,direct,32x32,RGBA,0,255,"(5, 1, 27, 31)"
44,44_crystal_cluster_large.png,props,cristais_lunares_no_rochedo_gótico.png,direct,32x48,RGBA,0,254,"(1, 9, 31, 39)"
45,45_altar_moon_small.png,props,altar_lunar_gótico_em_pixel_art.png,direct,64x64,RGBA,0,255,"(3, 1, 60, 63)"
46,46_chain_barrier_moon.png,props,corrente_gótica_lunar_em_pixel_art.png,rot90,64x64,RGBA,0,255,"(1, 23, 63, 40)"
47,47_lock_moon.png,props,padlock_lunar_místico_em_pixel_art.png,direct,32x32,RGBA,0,255,"(6, 1, 26, 31)"
48,48_lunar_bowl.png,props,tigela_ritual_com_fases_lunares.png,direct,32x32,RGBA,0,254,"(1, 2, 31, 30)"
49,49_flame_moon_blue.png,fx,chama_mágica_azul_em_pixel_art.png,direct,32x48,RGBA,0,255,"(4, 1, 28, 47)"
50,50_flame_moon_purple.png,fx,chama_lunar_mágica_em_pixel_art.png,direct,32x48,RGBA,0,255,"(4, 1, 28, 47)"
51,51_flame_moon_white.png,fx,chama_lunar_de_fogo_fátuo.png,direct,32x48,RGBA,0,254,"(4, 1, 27, 47)"
52,52_fragment_glow.png,fx,fragmento_lunar_mágico_em_cristal.png,glow,32x48,RGBA,0,168,"(0, 0, 32, 48)"
53,53_mirror_glimmer.png,fx,brilho_lunar_em_pixel_art.png,direct,64x96,RGBA,0,255,"(2, 9, 62, 87)"
54,54_portal_glow_final.png,fx,portal_lunar_mágico_em_pixel_art.png,direct,96x128,RGBA,0,253,"(17, 2, 78, 126)"
55,55_sparkle_small_01.png,fx,brilho_mágico_lunar_em_pixel_art.png,sparkle1,16x16,RGBA,0,255,"(3, 1, 12, 15)"
56,56_sparkle_small_02.png,fx,brilho_mágico_lunar_em_pixel_art.png,sparkle2,16x16,RGBA,0,255,"(3, 1, 12, 15)"
